Timestamp;Longitude;Latitude;HorizontalAccuracy;Altitude;VerticalAccuracy;Bearing;BearingAccuracy;Speed;SpeedAccuracy
1649338796000;10,42130075;43,71830614;7,889634132;55,13433838;6,930644512;133,3999939;28,71884918;1,470000029;0,860523105
1649338802000;10,42139008;43,71824295;7,165593147;56,20819092;6,58603096;136;26,8771801;1,470000029;0,768439949
1649338811000;10,42150816;43,71815643;6,970404625;57,07855225;5,94833231;135,5;37,95494843;1,440000057;1,053090692
1649338816000;10,42158067;43,71813068;5,90322113;52,65356445;6,312721252;101,6999969;27,03337669;1,409999967;0,855628431
1649338821000;10,42167872;43,71813383;6,30145359;49,51489258;7,431947231;80,19999695;36,43754196;1,5;1,095536351
1649338828000;10,42182208;43,71821656;10,43957233;56,92169189;11,54596233;52,20000076;32,43441772;1,570000052;1,024158239
1649338833000;10,42186701;43,71829455;8,655673981;62,03442383;10,65187263;59,90000153;32,06118011;1,49000001;0,95801878
1649338838000;10,42193381;43,71834591;7,749299526;68,57196045;10,46746349;44,5;30,22349548;1,5;0,896270037
1649338843000;10,42202391;43,71840558;6,83571434;76,95758057;9,872400284;52,29999924;37,08972549;1,399999976;1,054371834
1649338848000;10,42208994;43,71844127;8,472770691;72,53497314;9,209952354;67,19999695;31,88090515;1,460000038;0,980816007
1649338855000;10,42217771;43,71845204;8,668231964;64,75952148;9,305456161;125,5999985;32,79728317;1,470000029;0,972008228
;;;;;;;32,23033556;;
;;;;;;;5,756372155;;
